,smiles,label
0,c1ccc(cc1)[C@H](CCO)NC2=NS(=O)(=O)C3COCCC3O2,0
1,c1ccc(cc1)[C@H](CCO)NC2=NS(=O)(=O)C3COCCC3O2,0
2,CC(C)(C)N1CCN(CC1)c2ccc(nc2)N3CCN(c4c3cccc4)C(=O)NCC5(CC5)Cn6ccnc6,0
3,CC1(C(S(=O)(=O)N=C(O1)N[C@@H](CCO)c2ccccc2F)c3ccc(cc3)c4cc[nH]n4)C,1
4,CS(=O)(=O)N1CCN(CC1)c2cc(c(cc2)Cc3c4c(ccc3)N(CCO4)C(=O)N[C@H]5C6C[C@]7(CC5CC(C6)C7)O)O,1
5,c1c(ccc(c1)O[C@H]2C[C@H]3N([C@@H](C2)CC3)C(=O)N[C@H]4C5C[C@]6(CC4CC(C5)C6)C(=O)N)N7CCOCC7,1
6,c1cc2c(cc1)N(CCN2c3ncc(cc3)N4CCC(CC4)O)C(=O)N[C@H]5C6C[C@]7(CC5CC(C6)C7)C(=O)N,1
7,CC(C)(C)N1CCN(CC1)c2ccc(nc2)N3CCN(c4c3cccc4)C(=O)/C=C/c5cccc(c5)Cl,0
8,c1cc(cc(c1)F)[C@H](CCO)NC2=NS(=O)(=O)C3CCCCC3O2,0
9,c1cc(cc(c1)F)[C@H](CCO)NC2=NS(=O)(=O)C3CCCCC3O2,1
10,c1cc(cc(c1)F)[C@H](CCO)NC2=NS(=O)(=O)[C@@H]3CCCC[C@@H]3O2,1
11,COC(=O)C12C3C4C1C5C2C3C45NC(=O)N6CCN(c7c6cccc7)c8ccc(cc8)c9ccccn9,0
12,CC1(C(S(=O)(=O)N=C(O1)N[C@@H](CCO)c2ccccc2F)Cc3ccccc3)C,1
13,Cc1nn(cc1S(=O)(=O)NC(=O)N[C@@]23C[C@H]4C[C@@H](C2)C[C@@H](C3)C4)C,0
14,c1ccc2c(c1)N(CCN2C(=O)N3CCC(C3)c4c[nH]nc4)c5cccc(c5)CC(=O)NC6CC6,1
15,CC(c1cccs1)NC(=O)N2CCN(c3c2cccc3)c4ccc(cn4)N5CCN(CC5)C(C)(C)C,0
16,CC(C1CCC(CC1)NC(=O)N2CCN(c3c2cccc3)c4ccc(cc4)N5CCN(CC5)S(=O)(=O)C)(C(F)(F)F)O,0
17,CC(N1CCN(CC1)c2cnc(cc2)N3c4c(cccc4)N(CC3)C(=O)N[C@H]5C6C[C@]7(CC5CC(C6)C7)C(=O)O)(C)C,0
18,CC1(C(S(=O)(=O)N=C(O1)N[C@@H](CCO)c2ccccc2F)c3ccc(cc3)c4cncnc4)C,1
19,CS(=O)(=O)N1CCN(CC1)c2cnc(cc2)N3CC4N(C(C3)CC4)C(=O)N[C@H]5C6C[C@]7(CC5CC(C6)C7)O,0
20,c1cc(cnc1)C2CCN(C2)C(=O)N3CCN(CC3)Cc4ccc(cc4)C(=O)[O-],0
21,COC(=O)C1(CC1)N2CCN(CC2)c3cnc(cc3)N4c5c(cccc5)N(CC4)C(=O)N[C@H]6C7C[C@]8(CC6CC(C7)C8)C(=O)N,1
22,c1ccc2c(c1)CCCN2C(=O)N3CCC(CC3)c4cc([nH]n4)c5ccc(cc5Cl)Cl,0
23,CC1([C@@H](S(=O)(=O)N=C(O1)N[C@]23C[C@@H]4C[C@H](C2)C[C@H]3C4)Cc5ccc(cc5)C6=CCN(CC6)C(=O)OC(C)(C)C)C,1
24,c1ccc(c(c1)[N+](=O)[O-])S(=O)(=O)NC(=O)NC23CC4CC(C2)CC(C4)C3,1
25,c1cc2c(cc1)N(CCN2c3ncc(cc3)N4CCN(CC4)S(=O)(=O)C5CC5)C(=O)N[C@H]6C7C[C@]8(CC6CC(C7)C8)C(=O)N,1
26,c1cc2c(cc1)N(CCN2c3ncc(cc3)N4CCN(CC4)S(=O)(=O)C5CC5)C(=O)N[C@H]6C7C[C@]8(CC6CC(C7)C8)C(=O)N,1
27,c1cc2c(cc1)N(CCN2c3ncc(cc3)N4CCN(CC4)S(=O)(=O)C5CC5)C(=O)N[C@H]6C7C[C@]8(CC6CC(C7)C8)C(=O)N,1
28,c1cc2c(cc1)N(CCN2c3ncc(cc3)N4CCN(CC4)S(=O)(=O)C5CC5)C(=O)N[C@H]6C7C[C@]8(CC6CC(C7)C8)C(=O)N,1
29,Cc1ncc(o1)C2CCN(CC2)C(=O)N3CCCc4c3cccc4,0
30,C[C@@H](c1ccccc1F)NC2=NS(=O)(=O)[C@H](C(O2)(C)C)Cc3ccc(cc3)C4CCN(CC4)C,1
31,c1cc2c(cc1)N(CCN2c3ncc(cc3)N4CCOCC4)C(=O)N[C@H]5C6C[C@]7(CC5CC(C6)C7)O,1
32,CC(N1CCN(CC1)c2cnc(cc2)N3c4c(ccc(c4)Cl)N(CC3)C(=O)N[C@H]5C6C[C@]7(CC5CC(C6)C7)C(=O)N)(C)C,1
33,CC(N1CCN(CC1)c2cnc(cc2)N3c4c(ccc(c4)Cl)N(CC3)C(=O)N[C@H]5C6C[C@]7(CC5CC(C6)C7)C(=O)N)(C)C,1
34,c1cc2c(cc1)N(CCN2c3ccc(cc3)N4CCOCC4)C(=O)N[C@H]5C6C[C@]7(CC5CC(C6)C7)C(=O)N,1
35,c1ccc2c(c1)CCCN2C(=O)N3CCC(C3)c4cccnc4,1
36,c1ccc2c(c1)N(CCN2C(=O)N3CCC(C3)(c4cc[nH]n4)O)c5ccc(cc5)C#N,0
37,COc1ccc2c(c1)N(CCO2)C(=O)N3CCC(CC3)c4cccnc4,0
38,c1ccc2c(c1)CCCN2C(=O)N3CCC(CC3)C(=O)NCc4ccc(cc4Cl)Cl,0
39,c1cc2c(cc1)N(CCN2c3ncc(cc3)N4CCC(CC4)NCC(=O)N5[C@@H](CCC5)C#N)C(=O)N[C@H]6C7C[C@]8(CC6CC(C7)C8)C(=O)N,1
40,CC(=O)NC1CCN(c2c1cccc2)C(=O)N3CCC(C3)c4cccnc4,0
41,c1cc2c(cc1)N(CCN2c3ncc(cc3)N4CCN(CC4)S(=O)(=O)C5CCCC5)C(=O)N[C@H]6C7C[C@]8(CC6CC(C7)C8)O,1
42,c1cc2c(cc1)N(CCN2c3ncc(cc3)N4CCC(CC4)C(F)(F)F)C(=O)N[C@H]5C6C[C@]7(CC5CC(C6)C7)C(=O)N,1
43,c1cc2c(cc1)N(CCN2c3ncc(cc3)N4CCC(CC4)C(F)(F)F)C(=O)N[C@H]5C6C[C@]7(CC5CC(C6)C7)C(=O)N,1
44,C[C@@H](c1ccccc1F)NC2=NS(=O)(=O)C(C(O2)(C)C)c3cccc(c3)C(=O)NCc4ccccn4,1
45,c1ccc(c(c1)[C@H](CCO)NC2=NS(=O)(=O)N(C3(C2)CC3)Cc4ccc(cc4)Br)F,1
46,CS(=O)(=O)CCN1CCN(CC1)c2cnc(cc2)N3c4c(cccc4)N(CC3)C(=O)N[C@H]5C6C[C@]7(CC5CC(C6)C7)C(=O)N,1
47,CC1(C(S(=O)(=O)N=C(O1)N[C@@H](CCO)c2ccccc2F)c3ccc(cc3)c4ccc(cn4)N5CCN(CC5)C)C,1
48,c1cc(cnc1)C2CCN(C2)C(=O)N3CCOc4c3cc(cc4)C#N,0
49,c1cc(ccc1[C@H](CCO)NC2=NS(=O)(=O)C3CCCCC3O2)F,1
50,c1cc(ccc1[C@H](CCO)NC2=NS(=O)(=O)[C@H]3CCCC[C@H]3O2)F,1
51,CC(=C(c1cccc(c1)N2CCCC2)S(=O)(=O)NC(=O)N[C@@H](CCO)c3ccccc3)C,0
52,CC1(C(S(=O)(=O)N=C(O1)N[C@@H](CCO)c2ccccc2F)c3ccc(cc3)c4cnc(cn4)N5CCN(CC5)C)C,1
