,smiles,label
0,c1ccc(cc1)[C@H](CCO)NC2=NS(=O)(=O)C3COCCC3O2,0
1,c1ccc(cc1)[C@H](CCO)NC2=NS(=O)(=O)C3COCCC3O2,0
2,CC1(C(S(=O)(=O)N=C(O1)N[C@@H](CCO)c2ccccc2F)c3ccc(cc3)c4cc[nH]n4)C,1
3,c1cc(cc(c1)F)[C@H](CCO)NC2=NS(=O)(=O)C3CCCCC3O2,0
4,c1cc(cc(c1)F)[C@H](CCO)NC2=NS(=O)(=O)C3CCCCC3O2,1
5,c1cc(cc(c1)F)[C@H](CCO)NC2=NS(=O)(=O)[C@@H]3CCCC[C@@H]3O2,1
6,CC1(C(S(=O)(=O)N=C(O1)N[C@@H](CCO)c2ccccc2F)Cc3ccccc3)C,1
7,Cc1nn(cc1S(=O)(=O)NC(=O)N[C@@]23C[C@H]4C[C@@H](C2)C[C@@H](C3)C4)C,0
8,CC1(C(S(=O)(=O)N=C(O1)N[C@@H](CCO)c2ccccc2F)c3ccc(cc3)c4cncnc4)C,1
9,CC1([C@@H](S(=O)(=O)N=C(O1)N[C@]23C[C@@H]4C[C@H](C2)C[C@H]3C4)Cc5ccc(cc5)C6=CCN(CC6)C(=O)OC(C)(C)C)C,1
10,c1ccc(c(c1)[N+](=O)[O-])S(=O)(=O)NC(=O)NC23CC4CC(C2)CC(C4)C3,1
11,C[C@@H](c1ccccc1F)NC2=NS(=O)(=O)[C@H](C(O2)(C)C)Cc3ccc(cc3)C4CCN(CC4)C,1
12,C[C@@H](c1ccccc1F)NC2=NS(=O)(=O)C(C(O2)(C)C)c3cccc(c3)C(=O)NCc4ccccn4,1
13,c1ccc(c(c1)[C@H](CCO)NC2=NS(=O)(=O)N(C3(C2)CC3)Cc4ccc(cc4)Br)F,1
14,CC1(C(S(=O)(=O)N=C(O1)N[C@@H](CCO)c2ccccc2F)c3ccc(cc3)c4ccc(cn4)N5CCN(CC5)C)C,1
15,c1cc(ccc1[C@H](CCO)NC2=NS(=O)(=O)C3CCCCC3O2)F,1
16,c1cc(ccc1[C@H](CCO)NC2=NS(=O)(=O)[C@H]3CCCC[C@H]3O2)F,1
17,CC(=C(c1cccc(c1)N2CCCC2)S(=O)(=O)NC(=O)N[C@@H](CCO)c3ccccc3)C,0
18,CC1(C(S(=O)(=O)N=C(O1)N[C@@H](CCO)c2ccccc2F)c3ccc(cc3)c4cnc(cn4)N5CCN(CC5)C)C,1
19,C[C@@H](c1ccccc1F)NC2=NS(=O)(=O)C(C(O2)(C)C)c3cccc(c3)Br,1
20,CC1([C@H](S(=O)(=O)N=C(O1)NC2C3CC4CC(C3)CC2C4)c5ccc(cc5)c6ccc(cc6)C(=O)O)C,0
21,C[C@@H](c1ccccc1F)NC2=NS(=O)(=O)N(C3(C2)CC3)Cc4ccc(cc4)Br,1
22,C1CCC(CC1)NC2=NS(=O)(=O)CCO2,0
23,CC(C)N1CC(C1)c2ccc(c(c2)F)C[C@@H]3C(OC(=NS3(=O)=O)N[C@]45C[C@@H]6C[C@H](C4)C[C@H]5C6)(C)C,1
24,c1ccc2c(c1)cc(s2)S(=O)(=O)NC(=S)NC34CC5CC(C3)CC(C5)C4,0
25,CCC1CCC(CC1)NC(=O)[N-]S(=O)(=O)c2ccc(cc2)CCNc3nc(cc(n3)C)C,0
26,C[C@@H](c1ccccc1F)NC2=NS(=O)(=O)C(C(O2)(C)C)c3ccc(cc3)Nc4ccccn4,1
27,CC1(C(S(=O)(=O)N=C(O1)N[C@@H](CCO)c2ccccc2)(C)C)C,1
28,CC1(C(S(=O)(=O)N=C(O1)N[C@@H](CCO)c2ccccc2F)c3ccc(cc3)c4cnn(c4)C)C,1
29,C[C@@]12CC[C@@H](C1(C)C)[C@H]([C@H]2O)NC(=O)NS(=O)(=O)c3cccc(c3)OC(F)F,0
30,CC1(C(S(=O)(=O)N=C(O1)N[C@@H](CCO)c2ccc(cc2F)F)Cc3ccccc3)C,1
31,CC1([C@@H](S(=O)(=O)N=C(O1)N[C@@H](CCO)c2ccccc2F)c3ccc(cc3)c4cccc(c4)C#N)C,1
32,CC1([C@H](S(=O)(=O)N=C(O1)N[C@@H](CCO)c2ccccc2F)c3ccc(cc3)c4cccc(c4)C#N)C,1
33,CC1(C(S(=O)(=O)N=C(O1)N[C@@H](CCO)c2ccccc2F)c3ccc(cc3)c4cccc(c4)C#N)C,1
34,CC1(C(S(=O)(=O)N=C(O1)N[C@@H](CCO)c2ccccc2F)c3ccc(c(c3)F)c4ccc(cc4F)S(=O)(=O)C)C,1
35,Cn1c(cc(n1)c2ccc(s2)S(=O)(=O)NC(=O)NC34CC5CC(C3)CC(C5)C4)C(F)(F)F,0
36,CC1(C(S(=O)(=O)N=C(O1)N[C@@H](CCO)c2ccccc2)c3cccc(c3)Cc4ccccc4)C,1
37,CN1C(C2(CC2)S(=O)(=O)N=C1NC3CCCCC3)c4ccccc4,0
38,C[C@@H](c1ccccc1F)NC2=NS(=O)(=O)C(C(O2)(C)C)c3ccc(cc3)c4ccc5c(c4)CNC5=O,1
39,c1ccc(cc1)N2CCC3C(C2)S(=O)(=O)N=C(O3)N[C@@H](CCO)c4ccccc4F,1
40,CC1([C@H](S(=O)(=O)N=C(O1)N[C@@H](CCO)c2ccccc2F)c3ccc(cc3)c4cc(c(nc4)C#N)F)C,1
41,CC1([C@@H](S(=O)(=O)N=C(O1)N[C@@H](CCO)c2ccccc2F)c3ccc(cc3)c4cc(c(nc4)C#N)F)C,1
42,CC(C)C1C2(CC2)S(=O)(=O)N=C(O1)NC3CCCCC3,0
43,C1CC[C@@H]2[C@H](C1)OC(=NS2(=O)=O)NC34CCCC3CCC4,1
44,CC1(C(S(=O)(=O)N=C(O1)N[C@@H](CCO)c2ccccc2F)c3ccc(cc3)c4cnc(nc4)N5CCN(CC5)C)C,1
45,CC1(C(S(=O)(=O)N=C(O1)N[C@@H](CCO)c2ccccc2F)c3ccc(c(c3)F)c4ccc(c(c4)C#N)F)C,1
46,CC1(C(S(=O)(=O)N=C(O1)N[C@@H](CCO)c2ccccc2)c3cccc(c3)c4ccccc4)C,1
47,CCN(CC)C(=O)CCNC(=O)NS(=O)(=O)C1=CCCCC1,0
48,CC1(C(S(=O)(=O)N=C(O1)N[C@@H](CCO)c2ccccc2F)c3ccc(cc3)c4cnc(nc4)OC)C,1
49,CC(=C(c1ccc(cc1)N2CCCC2)S(=O)(=O)NC(=O)N[C@@H](CCO)c3ccccc3)C,0
50,CC1(CC(=NS(=O)(=O)N1c2ccc(cc2)Br)N[C@@H](CCO)c3ccccc3F)C,1
51,C[C@@H](c1ccccc1F)NC2=NS(=O)(=O)C(C(O2)(C)C)c3cccc(c3)N4CCN(CC4)C(C)(C)C,0
52,CC1(C(S(=O)(=O)N=C(O1)N[C@@H](CCO)c2ccccc2F)c3ccc(cc3)CCCN(C)CC(F)F)C,1
53,CC1(C(S(=O)(=O)N=C(O1)N[C@@H](CCO)c2ccccc2F)c3cccc(c3)Cl)C,1
54,CNC(=O)OC[C@@H](c1ccc(cc1)F)NC2=NS(=O)(=O)[C@H]3CCCC[C@H]3O2,0
55,c1cc(ccc1F)S(=O)(=O)NC(=O)NC2CCCCCCC2,0
56,C[C@@H](c1ccccc1F)NC2=NS(=O)(=O)C(C(O2)(C)C)c3ccc(cc3)c4ccc5c(c4)C(=O)NC5,1
57,CC1([C@H](S(=O)(=O)N=C(O1)NC23CC4CC2CC(C4)(C3)C(=O)N)Cc5ccccc5)C,1
58,C[C@@H](c1ccccc1F)NC2=NS(=O)(=O)C(C(O2)(C)C)c3ccc(nc3)c4cccc(c4)C(=O)N,1
