Unnamed: 0,smiles,label,features
183,c1ccc2c(c1)N(CCN2C(=O)N3CCC(C3)(c4ccn[nH]4)O)Cc5ccc(cc5)C#N,0,[0 0 0 ... 0 0 0]
543,c1ccc2c(c1)CCCN2C(=O)N3CCC(C3)c4ccccc4F,1,[0 0 0 ... 0 0 0]
587,c1ccc2c(c1)N(CCN2C(=O)NC3C4CC5CC(C4)CC3C5)c6ccc(cc6)OC7CCN(CC7)C(=O)C8CCOCC8,0,[0 0 0 ... 0 0 0]
739,CC(N1CCN(CC1)C(=O)c2cnc(cc2)c3ccc(cc3)N4c5c(cccc5)N(CC4)C(=O)N[C@H]6C7C[C@]8(CC6CC(C7)C8)O)C,1,[0 1 0 ... 0 0 0]
107,c1cc(cnc1)C2CCN(CC2)C(=O)N3CCOc4c3ccc(c4)F,0,[0 0 0 ... 0 0 0]
442,CS(=O)(=O)N1CCC(C1)N2CCN(c3c2cccc3)C(=O)N4CCC(C4)c5c[nH]nc5,0,[0 0 0 ... 0 0 0]
541,CC(C)(C)N1CCN(CC1)c2ccc(nc2)N3CCN(c4c3cccc4)C(=O)N[C@H]5[C@@H]6C[C@@H]7C[C@H]5C[C@@](C7)(C6)C(=O)N,0,[0 0 0 ... 0 0 0]
569,c1cc(cnc1)C2CCN(C2)C(=O)N3CCN(CC3)Cc4ccc(cc4)C(=O)NC5CC5,0,[0 0 0 ... 0 0 0]
555,CC1(CCN(CC1)C(=O)N2CCCc3c2cccc3)C#N,0,[0 0 0 ... 0 0 0]
55,CCC(C)(C)C(=O)N1CCN(c2c1cccc2)c3ccc(cn3)N4CCN(CC4)C(C)(C)C,0,[0 0 0 ... 0 0 0]
631,CC(Oc1ccc(cc1)c2cnc(nc2)N3c4c(cccc4)N(CC3)C(=O)N[C@H]5C6C[C@]7(CC5CC(C6)C7)C(=O)N)C,1,[0 1 0 ... 0 0 0]
401,CC1(CN(CCO1)C(=O)N2CCN(c3c2cccc3)c4ccc(cn4)N5CCN(CC5)C(C)(C)C)C,0,[0 0 0 ... 0 0 0]
302,c1ccc2c(c1)N(CCO2)C(=O)N3CCC(C3)c4cccnc4C#N,1,[0 0 0 ... 0 0 0]
84,CC(=O)Nc1nc(cs1)C2CCN(CC2)C(=O)N3CCCc4c3cccc4,0,[0 0 0 ... 0 0 0]
135,CC1(CCN(c2c1cccc2)C(=O)N3CCC(C3)c4c[nH]nc4)C,1,[0 0 0 ... 0 0 0]
600,c1ccc2c(c1)CCCN2C(=O)N3CC(C(C3)Oc4cccnc4)O,0,[0 0 0 ... 0 0 0]
38,CC(C)(C)N1CCN(CC1)c2ccc(nc2)N3CCN(c4c3cccc4)C(=O)Nc5cccc(c5)C#C,0,[0 0 0 ... 0 0 0]
157,CC(C)(C)N1CCN(CC1)c2ccc(nc2)N3CCN(c4c3cccc4)C(=O)/C=C/c5ccc(c(c5)C(F)(F)F)F,0,[0 0 0 ... 0 0 0]
327,C=C1CCN(CC1)c2cnc(cc2)N3c4c(cccc4)N(CC3)C(=O)N[C@H]5C6C[C@]7(CC5CC(C6)C7)C(=O)N,1,[0 0 0 ... 0 0 0]
254,c1ccc2c(c1)CCCN2C(=O)N3C4CCC3C=C(C4)c5ccccc5C#N,1,[0 0 0 ... 0 0 0]
742,c1ccc2c(c1)N(CCN2C(=O)NC34C5C6C3C7C4C5C67CO)c8ccc(cc8)c9ccccn9,0,[0 0 0 ... 0 0 0]
570,CC(Oc1ccc(cc1)c2cnc(cc2)O[C@H]3CC4N(C(C3)CC4)C(=O)N[C@H]5C6C[C@]7(CC5CC(C6)C7)C(=O)N)C,1,[0 1 0 ... 0 0 0]
311,COCCS(=O)(=O)N1CCN(CC1)c2cnc(cc2)N3c4c(cccc4)N(CC3)C(=O)N[C@H]5C6C[C@]7(CC5CC(C6)C7)O,1,[0 0 0 ... 0 0 0]
375,c1ccc2c(c1)CCCN2C(=O)N3C4CCC3C=C(C4)c5ccccc5C(=O)N,0,[0 0 0 ... 0 0 0]
19,c1cc2c(cc1)N(CCN2c3ncc(cc3)N4CCOCC4)C(=O)N[C@H]5C6C[C@]7(CC5CC(C6)C7)O,1,[0 0 0 ... 0 0 0]
201,c1ccc2c(c1)/C(=N/OCC(=O)N3CCOCC3)/CCN2C(=O)N4CCC(C4)c5c[nH]nc5,0,[0 0 0 ... 0 0 0]
403,c1ccc2c(c1)CCCN2C(=O)N3CCC(C3)(C#N)c4cccnc4,1,[0 0 0 ... 0 1 0]
134,c1ccc2c(c1)N(CCN2C(=O)N3CCC(C3)c4c[nH]nc4)c5ccc(nc5)OC6CCCCC6,1,[0 0 1 ... 0 0 0]
520,COc1ccc(cc1)c2cnc(nc2)N3CCN(c4c3cccc4)C(=O)N5CCC(C5)c6c[nH]nc6,1,[0 0 0 ... 0 0 0]
542,c1cc2c(cc1)N(CCN2c3ncc(cc3)N4C[C@@H]([C@H](CC4)c5c(cc(c(c5)F)F)F)N)C(=O)N[C@H]6C7C[C@]8(CC6CC(C7)C8)C(=O)N,1,[0 0 0 ... 0 0 0]
469,CS(=O)(=O)N1CCN(CC1)c2cnc(nc2)N3c4c(cccc4)N(CC3)C(=O)N[C@H]5C6C[C@]7(CC5CC(C6)C7)O,1,[0 0 0 ... 0 0 0]
718,CS(=O)(=O)N1CCN(CC1)c2cnc(cc2)N3c4c(cccc4)N(CC3)C(=O)N[C@H]5C6C[C@]7(CC5CC(C6)C7)O,1,[0 0 0 ... 0 0 0]
274,CC(C)(C)N1CCN(CC1)c2ccc(nc2)N3CCN(c4c3cccc4)C(=O)N5CCc6c(ccs6)C5,0,[0 0 0 ... 0 0 0]
